crop,variety,location,arrivals(qtls),Max,Min,Model,Purchase by
Cabbage,Common,Gudumalkapur,188,800,600,700,Private Traders
Cabbage,Common,Shadnagar,10,"1,500","1,200","1,300",Private Traders
Cauliflower,Common,Gudumalkapur,59,"2,000","1,000","1,500",Private Traders
Beet Root,Common,Gudumalkapur,38,"1,000",600,800,Private Traders
Radish,Common,Gudumalkapur,2,600,400,500,Private Traders
Carrot,Common,Gudumalkapur,217,"3,000","1,500","2,000",Private Traders
Carrot,Common,Shadnagar,5,"3,000","2,500","2,800",Private Traders
Potato,Common,Gudumalkapur,"1,726","2,000","1,600","1,800",Private Traders
ColaCasio(Arvi),Common,Gudumalkapur,126,"2,000","1,600","1,800",Private Traders
Green Onion,Common,Gudumalkapur,2,"1,500","1,000","1,200",Private Traders
Brinjal,Common,Shadnagar,12,"1,200","1,000","1,100",Private Traders
Brinjal,Round,Gudumalkapur,304,800,400,600,Private Traders
Ladysfinger,Common,Gudumalkapur,276,"1,200",600,"1,000",Private Traders
Ladysfinger,Common,Shadnagar,13,"1,800","1,500","1,700",Private Traders
Greenchillies,Common,Gudumalkapur,403,"2,200","1,000","1,600",Private Traders
Greenchillies,Common,Shadnagar,16,"3,200","2,900","3,000",Private Traders
Tomato,Common,Gudumalkapur,362,"2,400","1,000","1,600",Private Traders
Tomato,Local,Shadnagar,15,"2,250","1,800","2,000",Private Traders
French Beans,Common,Gudumalkapur,70,"6,000","4,000","5,000",Private Traders
Clusterbeans,Common,Gudumalkapur,173,"1,500",900,"1,200",Private Traders
Clusterbeans,Common,Shadnagar,10,"2,000","1,500","1,800",Private Traders
Field Beans,Common,Gudumalkapur,46,"5,000","3,000","4,000",Private Traders
Bottle Gourd,Common,Gudumalkapur,227,800,400,600,Private Traders
Ribbedgourd,Common,Gudumalkapur,93,"2,500","2,000","2,200",Private Traders
Ribbedgourd,Common,Shadnagar,8,"2,000","1,600","1,800",Private Traders
Bittergourd,Common,Gudumalkapur,91,"2,000","1,000","1,500",Private Traders
Bittergourd,Common,Shadnagar,5,"3,000","2,500","2,800",Private Traders
Kheera,Common,Gudumalkapur,151,800,400,600,Private Traders
Pumpkin,Common,Gudumalkapur,27,800,600,700,Private Traders
Cucumber,Common,Gudumalkapur,50,600,400,500,Private Traders
Drumstick,Common,Gudumalkapur,59,"2,000","1,500","1,800",Private Traders
Lemon,Common,Nakrekal,190,200,50,100,Private Traders
Donda,Common,Gudumalkapur,192,"1,000",600,800,Private Traders
Lobha,Common,Gudumalkapur,3,"1,500","1,000","1,200",Private Traders
Arati-Green Plantain,Common,Gudumalkapur,3,"2,500","2,000","2,200",Private Traders
Capsicum,Common,Gudumalkapur,37,"2,500","2,000","2,200",Private Traders
Capsicum,Common,Shadnagar,5,"3,500","2,800","3,000",Private Traders
Nashpati(Pear),Common,Gaddiannaram,10,"10,000","5,000","6,650",Private Traders
Plum(Aloobukara),Common,Gaddiannaram,13,"4,550","1,400","2,100",Private Traders
Paddy,Common,Tandur,23,"1,575","1,550","1,560",Private Traders
Paddy,Grade-A (1010),Jagtial,3,"1,466","1,411","1,466",Private Traders
Paddy,Grade-A (BPT),Choppadandi,13,"1,448","1,436","1,448",Private Traders
Paddy,Grade-A (RNR),Choppadandi,5,"1,552","1,406","1,552",Private Traders
Paddy,Grade-A (Samba Masuri),Tirmalagiri,25,"2,339","1,889","1,889",Private Traders
Paddy,Grade-A(IR64),Choppadandi,139,"1,530","1,375","1,521",Private Traders
Paddy,Grade-A(IR64),Tirmalagiri,113,"1,612","1,579","1,591",Private Traders
Wheat,Common,Nizamabad,8,"1,702","1,402","1,502",Private Traders
Maize,Common,Warangal,24,"1,471","1,436","1,459",Private Traders
Maize,Common,Tandur,20,"1,350","1,350","1,350",Private Traders
Maize,Common,Choppadandi,16,"1,382","1,382","1,382",Private Traders
Maize,Common,Tirmalagiri,6,"1,292","1,292","1,292",Private Traders
Maize,Common,Sadasivapet,4,"1,341","1,341","1,341",Private Traders
Maize,Common,Jagtial,3,"1,355","1,011","1,355",Private Traders
Maize,Hybrid New,Nizamabad,1,"1,502","1,502","1,502",Private Traders
Bengalgram,Common,Nizamabad,3,"3,102","3,102","3,102",Private Traders
Bengalgram,Common,Tandur,2,390,"3,950","3,950",Private Traders
Redgram,Common,Tandur,163,"5,779","5,319","5,751",Private Traders
Redgram,Common,Khammam,62,"5,430","1,600","5,375",Private Traders
Redgram,Common,Warangal,37,"5,239","4,411","5,206",Private Traders
Redgram,Common,Nizamabad,6,"4,320","4,233","4,252",Private Traders
Redgram,Common,Jagtial,4,"4,252","3,838","4,252",Private Traders
Redgram,Hybrid,Choppadandi,3,"4,888","4,888","4,888",Private Traders
Greengram,Common,Khammam,26,"7,300","5,411","7,250",Private Traders
Greengram,Common,Warangal,1,"6,322","6,322","6,322",Private Traders
Black Gram,Common,Tandur,4,"4,005","4,005","4,005",Private Traders
Cotton,Common,Warangal,"3,659","4,545","3,500","4,480",Private Traders
Cotton,Common,Khammam,"1,072","4,300","3,000","4,000",Private Traders
Cotton,Common,Jammikunta,59,"3,200","4,500","4,500",Private Traders
Cotton,Common,Choppadandi,11,"3,400","3,000","3,300",Private Traders
Groundnut ,Common,Warangal,147,"5,320","2,000","2,800",Private Traders
